	txNomeParlamentar	ideCadastro	sgUF	sgPartido	txtDescricao	txtDescricaoEspecificacao	txtFornecedor	txtCNPJCPF	datEmissao	vlrLiquido	numMes	numAno	txtPassageiro	nuDeputadoId	ideDocumento	urlDocumento
29077	Geraldo Resende	74374.0	MS	PSDB	TELEFONIA		RAMAL	000.000.000/0000-6		1.4	7	2019		1649	0	
29078	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		aguas guarirobas	040.895.700/0015-0	2019-01-14 00:00:00	77.42	1	2019		1697	6759317	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6759317.pdf
29079	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ENERGISA   MS	154.138.260/0015-0	2019-01-11 00:00:00	249.98	1	2019		1697	6759322	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6759322.pdf
29080	Vander Loubet	74376.0	MS	PT	MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR		ronaldo guedine ribeiro	120.251.668/85  -	2019-02-07 00:00:00	2150.0	1	2019		1697	6760118	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6760118.pdf
29081	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ALPHAVILE COMERCIO DE COMBUSTIVEIS LTDA	103.396.620/0014-4	2019-01-06 00:00:00	100.0	1	2019		1697	6759290	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6759290.pdf
29082	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	ANCELMO & PAULINO LTDA	049.904.400/0019-4	2019-01-24 00:00:00	231.53	1	2019		1697	6791848	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6791848.pdf
29083	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	auto posto brenda ltda	029.370.470/0010-1	2019-01-13 00:00:00	223.02	1	2019		1697	6792199	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6792199.pdf
29084	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	AUTO POSTO CRIOLO LTDA	271.697.000/0016-0	2019-01-22 00:00:00	100.02	1	2019		1697	6781960	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6781960
29085	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	auto posto paloma limitada	015.040.000/0019-1	2019-01-07 00:00:00	200.01	1	2019		1697	6792150	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6792150.pdf
29086	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	auto posto pe de cedro ltda	155.130.960/0016-9	2019-01-29 00:00:00	250.01	1	2019		1697	6782381	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6782381.pdf
29087	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	AUTO POSTO SAN MARTIN LTDA	015.507.260/0016-0	2019-01-30 00:00:00	230.42	1	2019		1697	6782501	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6782501.pdf
29088	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	auto posto vivendas do bosque	220.617.360/0010-2	2019-01-18 00:00:00	70.0	1	2019		1697	6759309	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6759309.pdf
29089	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	FRATELLI POSTO DE COMBUSTIVEIS LTDA	088.840.380/0018-6	2019-01-17 00:00:00	50.0	1	2019		1697	6745039	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6745039
29090	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	FRATELLI POSTO DE COMBUSTIVEIS LTDA	088.840.380/0018-6	2019-01-28 00:00:00	178.3	1	2019		1697	6745036	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6745036
29091	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	FRATELLI POSTO DE COMBUSTIVEIS LTDA	088.840.380/0018-6	2019-02-03 00:00:00	215.42	1	2019		1697	6759305	http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=6759305
29092	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	LR PETROLEO LTDA	157.153.890/0012-9	2019-01-28 00:00:00	70.0	1	2019		1697	6782382	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6782382.pdf
29093	Vander Loubet	74376.0	MS	PT	COMBUSTÍVEIS E LUBRIFICANTES.	Veículos Automotores	LR PETROLEO LTDA	157.153.890/0012-9	2019-01-31 00:00:00	100.0	1	2019		1697	6782445	https://www.camara.leg.br/cota-parlamentar/documentos/publ/1697/2019/6782445.pdf
